"Time","Category","Note","Income.Expense","Amount","Currency","X","X.1","Date"
"12/18/2021 21:00","Food","To rahul","Expense",1.356,"USD",NA,NA,2021-12-18
"12/18/2021 19:51","Social Life","Spiderman ","Expense",4.36464,"USD",NA,NA,2021-12-18
"12/18/2021 14:19","Food","Lunch","Expense",1.92,"USD",NA,NA,2021-12-18
"12/17/2021 18:54","Food","Milk with bharath","Expense",0.84,"USD",NA,NA,2021-12-17
"12/17/2021 14:45","Food","Lunch with company","Expense",1.32,"USD",NA,NA,2021-12-17
"12/17/2021 8:35","Other","Gave to gowdham","Expense",0.6,"USD",NA,NA,2021-12-17
"12/16/2021 18:44","Food","Egg","Expense",0.36,"USD",NA,NA,2021-12-16
"12/16/2021 18:35","Food","Panipoori","Expense",0.24,"USD",NA,NA,2021-12-16
"12/16/2021 13:38","Food","Lunch","Expense",0.36,"USD",NA,NA,2021-12-16
"12/16/2021 10:42","Food","Milk with bharath","Expense",1.32,"USD",NA,NA,2021-12-16
"12/14/2021 23:54","Food","Lunch","Expense",0.48,"USD",NA,NA,2021-12-14
"12/14/2021 21:21","Food","Snacks","Expense",0.9,"USD",NA,NA,2021-12-14
"12/14/2021 21:03","Food","Panipoori","Expense",0.96,"USD",NA,NA,2021-12-14
"12/14/2021 15:18","Food","Snacks","Expense",0.888,"USD",NA,NA,2021-12-14
"12/14/2021 10:33","Food","Milk with bharath","Expense",0.78,"USD",NA,NA,2021-12-14
"12/12/2021 21:47","Food","Milk with bharath","Expense",0.3,"USD",NA,NA,2021-12-12
"12/10/2021 21:38","Food","Shopping","Expense",2.892,"USD",NA,NA,2021-12-10
"12/10/2021 20:55","Food","Momos","Expense",2.34,"USD",NA,NA,2021-12-10
"12/9/2021 20:03","Food","Snack with bharath","Expense",0.48,"USD",NA,NA,2021-12-09
"12/9/2021 14:01","Food","Lunch with company","Expense",3.36,"USD",NA,NA,2021-12-09
"12/9/2021 9:56","Food","Milk with bharath","Expense",0.3,"USD",NA,NA,2021-12-09
"12/9/2021 8:47","Food","Breakfast with stu","Expense",1.32,"USD",NA,NA,2021-12-09
"12/8/2021 14:15","Food","Lunch with stu","Expense",1.2,"USD",NA,NA,2021-12-08
"12/8/2021 14:15","Food","5 star","Expense",15,"USD",NA,NA,2021-12-08
"12/8/2021 7:17","Food","Milk","Expense",0.12,"USD",NA,NA,2021-12-08
"12/7/2021 9:54","Food","Milk with bharath","Expense",0.3,"USD",NA,NA,2021-12-07
"12/7/2021 7:59","Food","Horlicks","Expense",0.18,"USD",NA,NA,2021-12-07
"12/6/2021 21:59","Food","Milk with bharath","Expense",0.3,"USD",NA,NA,2021-12-06
"12/6/2021 20:07","Apparel","Shoe","Expense",6,"USD",NA,NA,2021-12-06
"12/6/2021 19:57","Apparel","Cap","Expense",1.68,"USD",NA,NA,2021-12-06
"12/6/2021 14:08","Food","Lunch with stu","Expense",1.8,"USD",NA,NA,2021-12-06
"12/5/2021 19:45","Food","Milk with bharath","Expense",0.3,"USD",NA,NA,2021-12-05
"12/5/2021 18:41","Apparel","Full hand and a hoodie","Expense",21.6,"USD",NA,NA,2021-12-05
"12/5/2021 12:23","Household","Rent","Expense",57.6,"USD",NA,NA,2021-12-05
"12/4/2021 21:05","Food","Dinner","Expense",3.888,"USD",NA,NA,2021-12-04
"12/4/2021 20:20","Food","Snack","Expense",0.78,"USD",NA,NA,2021-12-04
"12/4/2021 13:54","Other","For company","Expense",0.36,"USD",NA,NA,2021-12-04
"12/4/2021 10:13","Food","Breakfast","Expense",2.4,"USD",NA,NA,2021-12-04
"12/3/2021 21:59","Food","Milk with bharath","Expense",0.3,"USD",NA,NA,2021-12-03
"12/3/2021 21:59","Apparel","Belt","Expense",1.56,"USD",NA,NA,2021-12-03
"12/3/2021 21:28","Apparel","Mask","Expense",0.24,"USD",NA,NA,2021-12-03
"12/3/2021 21:28","Food","Snack","Expense",0.48,"USD",NA,NA,2021-12-03
"12/2/2021 20:07","Food","Ice cream","Expense",6.048,"USD",NA,NA,2021-12-02
"12/2/2021 19:48","Food","Vadapaav","Expense",0.9,"USD",NA,NA,2021-12-02
"12/1/2021 19:57","Beauty","Showergel","Expense",2.352,"USD",NA,NA,2021-12-01
"12/1/2021 14:00","Food","Lunch with company","Expense",1.92,"USD",NA,NA,2021-12-01
"11/30/2021 14:24","Gift","Bharath birthday","Expense",1.38,"USD",NA,NA,2021-11-30
"11/30/2021 14:17","Food","Lunch with company","Expense",1.536,"USD",NA,NA,2021-11-30
"11/30/2021 10:11","Food","Breakfast","Expense",0.84,"USD",NA,NA,2021-11-30
"11/29/2021 20:47","Food","Lunch with company","Expense",0.48,"USD",NA,NA,2021-11-29
"11/29/2021 20:47","Food","Dinner","Expense",0.6,"USD",NA,NA,2021-11-29
"11/29/2021 20:09","Food","Panipoori","Expense",0.48,"USD",NA,NA,2021-11-29
"11/29/2021 9:29","Food","Breakfast","Expense",0.48,"USD",NA,NA,2021-11-29
"11/28/2021 19:59","Food","Snack","Expense",1.128,"USD",NA,NA,2021-11-28
"11/28/2021 13:10","Food","Zomato","Expense",3.2328,"USD",NA,NA,2021-11-28
"11/27/2021 23:14","Food","Dinner with gowdham","Expense",1.44,"USD",NA,NA,2021-11-27
"11/27/2021 22:34","Food","Dinner with gowdham","Expense",1.56,"USD",NA,NA,2021-11-27
"11/27/2021 18:41","Transportation","Rapido","Expense",0.42,"USD",NA,NA,2021-11-27
"11/27/2021 13:46","Food","Lunch with company","Expense",0.9,"USD",NA,NA,2021-11-27
"11/27/2021 9:33","Food","Breakfast","Expense",0.36,"USD",NA,NA,2021-11-27
"11/26/2021 21:56","Food","Beer","Expense",1.8,"USD",NA,NA,2021-11-26
"11/26/2021 20:57","Food","Snack","Expense",1.224,"USD",NA,NA,2021-11-26
"11/26/2021 20:15","Food","Panipoori","Expense",0.48,"USD",NA,NA,2021-11-26
"11/26/2021 14:14","Food","Lunch with company","Expense",1.8,"USD",NA,NA,2021-11-26
"11/26/2021 9:22","Food","Breakfast","Expense",0.72,"USD",NA,NA,2021-11-26
"11/25/2021 20:27","Food","Lunch with company","Expense",1.74,"USD",NA,NA,2021-11-25
"11/25/2021 20:27","Transportation","Rapido","Expense",0.696,"USD",NA,NA,2021-11-25
"11/25/2021 20:27","Food","Dinner","Expense",1.14,"USD",NA,NA,2021-11-25
"11/24/2021 19:26","Food","Snack","Expense",0.18,"USD",NA,NA,2021-11-24
"11/24/2021 19:23","Food","Dinner","Expense",0.84,"USD",NA,NA,2021-11-24
"11/24/2021 19:06","Food","Panipoori","Expense",0.24,"USD",NA,NA,2021-11-24
"11/24/2021 19:06","Transportation","Rapido","Expense",0.696,"USD",NA,NA,2021-11-24
"11/23/2021 22:53","Transportation","Rapido","Expense",0.6,"USD",NA,NA,2021-11-23
"11/23/2021 22:53","Food","Dinner","Expense",2.148,"USD",NA,NA,2021-11-23
"11/22/2021 14:16","Food","Dinner","Expense",1.08,"USD",NA,NA,2021-11-22
"11/22/2021 14:16","Food","Lunch with company","Expense",1.164,"USD",NA,NA,2021-11-22
"11/21/2021 17:07","Transportation","Rapido","Expense",1.56,"USD",NA,NA,2021-11-21
"11/21/2021 15:50","Food","Lunch","Expense",10.5,"USD",NA,NA,2021-11-21
